Fecha,Tiempo Secuencial,Tiempo SIMD,Aceleracion
2025-04-28 19:01:04,0.008,0.0,inf
2025-04-28 19:02:31,0.0,0.0,nan
2025-04-28 19:02:46,0.004,0.0,inf
2025-04-28 19:02:56,0.0,0.0,nan
2025-04-28 19:03:14,0.0,0.0,nan
2025-04-28 19:03:21,0.005,0.0,inf
2025-04-28 19:03:26,0.002,0.002,1.0
2025-04-28 19:03:31,0.005,0.002,2.5
2025-04-28 19:03:36,0.0,0.005,0.0
2025-04-28 19:03:40,0.0,0.0,nan
2025-04-28 19:03:44,0.002,0.001,2.0
2025-04-28 19:03:48,0.0,0.008,0.0
2025-04-28 19:03:52,0.002,0.002,1.0
2025-04-28 19:04:02,0.0,0.0,nan
2025-04-28 19:04:07,0.0,0.01,0.0
2025-04-28 19:04:11,0.0,0.0,nan
2025-04-29 07:19:18,0.002,0.002,1.0
2025-04-29 07:27:40,0.004,0.0,inf
2025-04-29 07:36:57,0.015,0.0,inf
2025-04-29 07:51:49,0.003,0.001,3.0
2025-04-29 07:51:57,0.002,0.001,2.0
2025-04-29 07:52:09,0.002,0.001,2.0
2025-04-29 07:52:14,0.003,0.001,3.0
2025-04-29 07:52:18,0.003,0.001,3.0
2025-04-29 08:05:34,0.003,0.001,3.0
2025-04-29 08:05:38,0.006,0.002,3.0
2025-04-29 08:05:41,0.002,0.002,1.0
2025-04-29 08:05:45,0.003,0.001,3.0
2025-04-29 08:05:49,0.002,0.001,2.0
2025-04-29 08:05:52,0.004,0.002,2.0
2025-04-29 08:05:55,0.002,0.001,2.0
2025-04-29 08:05:58,0.002,0.001,2.0
2025-04-29 08:06:02,0.002,0.001,2.0
2025-04-29 08:06:05,0.002,0.002,1.0
2025-04-29 08:06:09,0.003,0.001,3.0
2025-04-29 08:06:12,0.002,0.001,2.0
2025-04-29 08:06:16,0.002,0.001,2.0
2025-04-29 08:06:22,0.002,0.001,2.0
2025-04-29 08:06:26,0.001,0.0,inf
2025-04-29 08:07:50,0.014,0.002,7.0
2025-04-29 08:08:38,0.005,0.002,2.5
2025-04-29 08:08:55,0.003,0.002,1.5
2025-04-29 08:09:07,0.0,0.0,nan
2025-04-29 08:09:25,0.006,0.0,inf
2025-04-29 08:09:35,0.002,0.002,1.0
2025-04-29 08:10:14,0.0,0.0,nan
2025-04-29 08:10:35,0.0,0.0,nan
2025-04-29 08:10:39,0.002,0.001,2.0
2025-04-29 08:10:43,0.003,0.001,3.0
2025-04-29 08:12:23,0.0,0.0,nan
2025-04-29 08:12:40,0.0,0.0,nan
2025-04-29 08:12:50,0.0,0.0,nan
2025-04-29 08:12:56,0.0,0.0,nan
2025-04-29 08:13:05,0.0,0.0,nan
2025-04-29 08:13:10,0.0,0.0,nan
2025-04-29 08:13:14,0.002,0.0,inf
2025-04-29 08:13:19,0.0,0.0,nan
2025-04-29 08:13:24,0.0,0.0,nan
2025-04-29 08:13:28,0.0,0.0,nan
